id_funcional,nome_completo,cpf,vencimento_reciclagem,certificacoes,soft_skills,perfil_comportamental,nota_performance,cep_base,escala_atual,ultimo_posto
VIG-10010,Benicio Gomes,148.***.***-85,2025-04-27,Grandes Eventos,"Comunicação Assertiva, Liderança de Equipe, Proatividade, Pontualidade Extrema, Trabalho sob Pressão",Profissional muito elogiado pelo cliente.,8.4,01202-001,12x36 Dia,Pastor S/A - Unidade 2
VIG-10011,Dra. Manuella Costela,582.***.***-01,2025-12-16,Segurança Pessoal (VSPP),"Liderança de Equipe, Proatividade",Excelente pontualidade e assiduidade.,7.3,01001-000,5x2 Comercial,Novais - EI - Unidade 10
VIG-10012,Gustavo Souza,691.***.***-77,2027-03-18,Segurança Pessoal (VSPP),"Comunicação Assertiva, Inteligência Emocional",Possui postura exemplar e uniforme sempre impecável.,9.7,02011-000,12x36 Dia,Barbosa - Unidade 10
VIG-10013,Luigi Câmara,745.***.***-01,2025-09-01,"Monitoramento de CFTV, Escolta Armada, Segurança Pessoal (VSPP)","Resolução de Conflitos, Perfil Analítico, Comunicação Assertiva, Proatividade",Profissional muito elogiado pelo cliente.,9.7,02011-000,5x2 Comercial,Pacheco - Unidade 1
VIG-10014,Hadassa Barros,356.***.***-12,2025-08-22,"Escolta Armada, Vigilância Patrimonial, Transporte de Valores","Empatia, Liderança de Equipe, Atenção Concentrada",Profissional muito elogiado pelo cliente.,9.8,01202-001,12x36 Noite,Fogaça - Unidade 4
VIG-10015,Rebeca Caldeira,540.***.***-08,2028-02-20,Transporte de Valores,"Perfil Analítico, Atenção Concentrada",Possui postura exemplar e uniforme sempre impecável.,7.5,01001-000,12x36 Dia,Albuquerque - EI - Unidade 7
VIG-10016,Olívia Albuquerque,567.***.***-90,2025-08-02,"Vigilância Patrimonial, Segurança Pessoal (VSPP)","Liderança de Equipe, Resolução de Conflitos, Discrição",Excelente pontualidade e assiduidade.,8.7,05407-002,5x2 Comercial,Azevedo - Unidade 5
VIG-10017,Diego Dias,493.***.***-00,2025-10-18,"Monitoramento de CFTV, Segurança Pessoal (VSPP)","Perfil Analítico, Resolução de Conflitos, Proatividade, Atenção Concentrada, Trabalho sob Pressão",Demonstra facilidade em lidar com público diverso.,7.0,01202-001,12x36 Noite,Casa Grande - Unidade 1
VIG-10018,Mariane Santos,978.***.***-77,2026-08-09,Segurança Pessoal (VSPP),"Resolução de Conflitos, Proatividade",Possui postura exemplar e uniforme sempre impecável.,9.5,08410-000,5x2 Comercial,Albuquerque e Filhos - Unidade 10
VIG-10019,Srta. Antonella Oliveira,652.***.***-30,2026-12-21,"Monitoramento de CFTV, Grandes Eventos","Trabalho sob Pressão, Liderança de Equipe, Atenção Concentrada, Discrição, Inteligência Emocional",Demonstra facilidade em lidar com público diverso.,10.0,04794-000,5x2 Comercial,Campos Ltda. - Unidade 3
VIG-10020,Amanda Rodrigues,724.***.***-07,2025-08-22,"Monitoramento de CFTV, Transporte de Valores, Escolta Armada","Trabalho sob Pressão, Comunicação Assertiva, Proatividade, Inteligência Emocional",Excelente pontualidade e assiduidade.,9.2,01310-100,12x36 Dia,Souza - EI - Unidade 4
VIG-10021,Cauê Porto,384.***.***-05,2026-04-13,"Grandes Eventos, Monitoramento de CFTV","Perfil Analítico, Empatia, Comunicação Assertiva, Trabalho sob Pressão, Atenção Concentrada, Liderança de Equipe",Excelente pontualidade e assiduidade.,7.5,01415-000,12x36 Noite,Guerra Azevedo - ME - Unidade 3
VIG-10022,Lorenzo Pereira,913.***.***-51,2025-08-19,"Escolta Armada, Monitoramento de CFTV","Empatia, Liderança de Equipe",Possui postura exemplar e uniforme sempre impecável.,9.4,04794-000,5x2 Comercial,Pires Ltda. - Unidade 1
VIG-10023,Pedro Novais,946.***.***-24,2025-07-29,"Vigilância Patrimonial, Segurança Pessoal (VSPP)","Perfil Analítico, Pontualidade Extrema, Trabalho sob Pressão, Proatividade",Profissional muito elogiado pelo cliente.,7.9,04801-010,5x2 Comercial,Guerra Ferreira S.A. - Unidade 6
VIG-10024,Dr. Ravi Lucca Nunes,497.***.***-04,2025-11-01,"Transporte de Valores, Grandes Eventos, Monitoramento de CFTV","Empatia, Inteligência Emocional, Perfil Analítico, Atenção Concentrada, Resolução de Conflitos",Profissional muito elogiado pelo cliente.,9.8,01310-100,5x2 Comercial,Casa Grande Ltda. - Unidade 1
VIG-10025,Cauã da Mata,840.***.***-57,2026-08-16,"Escolta Armada, Transporte de Valores, Monitoramento de CFTV","Discrição, Empatia, Liderança de Equipe","Focado e observador, antecipa riscos no perímetro.",7.4,01202-001,12x36 Dia,Campos - Unidade 9
VIG-10026,Luan da Mata,674.***.***-31,2026-06-04,Grandes Eventos,"Proatividade, Discrição",Profissional muito elogiado pelo cliente.,10.0,05407-002,12x36 Dia,Aragão - Unidade 3
VIG-10027,Ágatha Martins,231.***.***-46,2027-06-22,Grandes Eventos,"Liderança de Equipe, Perfil Analítico",Possui postura exemplar e uniforme sempre impecável.,8.6,01310-100,12x36 Dia,Barbosa - Unidade 9
VIG-10028,Dra. Luiza Freitas,510.***.***-02,2025-08-16,Monitoramento de CFTV,"Empatia, Atenção Concentrada, Trabalho sob Pressão, Proatividade, Perfil Analítico",Possui postura exemplar e uniforme sempre impecável.,9.9,01013-001,5x2 Comercial,Castro e Filhos - Unidade 1
VIG-10029,Giovanna Melo,432.***.***-00,2027-08-12,"Transporte de Valores, Vigilância Patrimonial","Pontualidade Extrema, Resolução de Conflitos, Liderança de Equipe",Excelente pontualidade e assiduidade.,7.6,01310-100,5x2 Comercial,Sá S/A - Unidade 2
VIG-10030,Vitor Gabriel Santos,106.***.***-60,2025-05-30,"Segurança Pessoal (VSPP), Monitoramento de CFTV, Grandes Eventos","Proatividade, Liderança de Equipe, Inteligência Emocional, Discrição, Atenção Concentrada, Empatia",Possui postura exemplar e uniforme sempre impecável.,7.3,01202-001,12x36 Dia,Almeida Ltda. - Unidade 7
VIG-10031,Daniela Gonçalves,513.***.***-57,2025-07-07,"Escolta Armada, Vigilância Patrimonial, Transporte de Valores","Pontualidade Extrema, Discrição, Proatividade, Liderança de Equipe, Empatia, Comunicação Assertiva",Possui postura exemplar e uniforme sempre impecável.,8.6,02011-000,12x36 Dia,Alves - Unidade 2
VIG-10032,Vitor Gabriel Mendes,230.***.***-53,2026-03-25,"Transporte de Valores, Vigilância Patrimonial","Proatividade, Empatia",Demonstra facilidade em lidar com público diverso.,9.2,01001-000,12x36 Dia,Fonseca - Unidade 10
VIG-10033,Vitória Silva,986.***.***-87,2026-06-10,"Monitoramento de CFTV, Vigilância Patrimonial, Segurança Pessoal (VSPP)","Perfil Analítico, Empatia, Pontualidade Extrema, Atenção Concentrada",Demonstra facilidade em lidar com público diverso.,7.1,01013-001,12x36 Noite,Sales S.A. - Unidade 10
VIG-10034,Srta. Helena Pires,652.***.***-47,2027-12-04,"Escolta Armada, Monitoramento de CFTV","Atenção Concentrada, Pontualidade Extrema, Trabalho sob Pressão",Excelente pontualidade e assiduidade.,6.5,05407-002,5x2 Comercial,Sampaio - Unidade 4
VIG-10035,Srta. Maitê Moura,257.***.***-00,2028-01-25,Grandes Eventos,"Inteligência Emocional, Resolução de Conflitos, Comunicação Assertiva, Trabalho sob Pressão, Pontualidade Extrema",Demonstra facilidade em lidar com público diverso.,8.6,02011-000,12x36 Noite,Dias - Unidade 1
VIG-10036,Dr. Cauê Viana,234.***.***-10,2026-07-03,"Monitoramento de CFTV, Escolta Armada","Empatia, Comunicação Assertiva, Atenção Concentrada, Trabalho sob Pressão",Excelente pontualidade e assiduidade.,7.4,01310-100,12x36 Dia,Melo - Unidade 6
VIG-10037,Raquel Costa,019.***.***-32,2027-10-20,"Segurança Pessoal (VSPP), Escolta Armada","Liderança de Equipe, Empatia, Proatividade, Pontualidade Extrema, Perfil Analítico",Demonstra facilidade em lidar com público diverso.,7.3,04801-010,12x36 Noite,Cassiano - Unidade 7
VIG-10038,Lorena Porto,962.***.***-55,2026-11-29,"Monitoramento de CFTV, Grandes Eventos, Escolta Armada","Comunicação Assertiva, Empatia, Discrição, Atenção Concentrada, Pontualidade Extrema","Focado e observador, antecipa riscos no perímetro.",9.0,01310-100,12x36 Noite,Siqueira Silveira e Filhos - Unidade 7
VIG-10039,Melissa Pereira,681.***.***-53,2025-05-09,"Grandes Eventos, Vigilância Patrimonial, Monitoramento de CFTV","Resolução de Conflitos, Proatividade, Pontualidade Extrema, Atenção Concentrada, Trabalho sob Pressão, Empatia",Excelente pontualidade e assiduidade.,6.7,04801-010,12x36 Dia,Siqueira - Unidade 10
VIG-10040,Helena Lopes,583.***.***-59,2026-10-14,Escolta Armada,"Perfil Analítico, Liderança de Equipe, Atenção Concentrada, Resolução de Conflitos",Excelente pontualidade e assiduidade.,8.2,02011-000,12x36 Dia,Souza Ltda. - Unidade 8
VIG-10041,Emanuel Ramos,407.***.***-08,2027-06-20,"Segurança Pessoal (VSPP), Transporte de Valores","Inteligência Emocional, Comunicação Assertiva, Resolução de Conflitos, Liderança de Equipe",Profissional muito elogiado pelo cliente.,8.4,01013-001,12x36 Noite,Lima - Unidade 9
VIG-10042,Gael Moraes,380.***.***-51,2026-12-30,Vigilância Patrimonial,"Trabalho sob Pressão, Atenção Concentrada, Empatia, Liderança de Equipe, Perfil Analítico","Focado e observador, antecipa riscos no perímetro.",6.8,01310-100,12x36 Noite,Mendonça Castro S.A. - Unidade 3
VIG-10043,Théo Vieira,658.***.***-94,2027-12-02,"Monitoramento de CFTV, Escolta Armada","Trabalho sob Pressão, Resolução de Conflitos, Atenção Concentrada",Excelente pontualidade e assiduidade.,8.5,01415-000,5x2 Comercial,Sales - Unidade 4
VIG-10044,Maria Laura Rios,021.***.***-42,2027-05-02,"Monitoramento de CFTV, Vigilância Patrimonial","Pontualidade Extrema, Atenção Concentrada, Perfil Analítico, Liderança de Equipe, Discrição",Demonstra facilidade em lidar com público diverso.,8.4,01001-000,12x36 Dia,Araújo Peixoto S.A. - Unidade 4
VIG-10045,Luiz Otávio Moraes,920.***.***-68,2027-07-30,"Transporte de Valores, Segurança Pessoal (VSPP)","Discrição, Comunicação Assertiva, Perfil Analítico, Pontualidade Extrema, Liderança de Equipe",Profissional muito elogiado pelo cliente.,7.4,01415-000,12x36 Dia,Mendonça Nogueira S.A. - Unidade 9
VIG-10046,Dra. Olívia Ramos,175.***.***-43,2026-12-25,"Grandes Eventos, Segurança Pessoal (VSPP), Monitoramento de CFTV","Pontualidade Extrema, Inteligência Emocional, Perfil Analítico, Trabalho sob Pressão, Liderança de Equipe, Proatividade","Focado e observador, antecipa riscos no perímetro.",6.8,04801-010,12x36 Dia,Peixoto S.A. - Unidade 4
VIG-10047,Lorena Vieira,478.***.***-76,2026-11-26,Transporte de Valores,"Empatia, Trabalho sob Pressão",Profissional muito elogiado pelo cliente.,7.4,04801-010,12x36 Noite,Leão - Unidade 7
VIG-10048,Bryan Nascimento,879.***.***-04,2026-07-19,Vigilância Patrimonial,"Comunicação Assertiva, Resolução de Conflitos, Perfil Analítico, Atenção Concentrada",Profissional muito elogiado pelo cliente.,7.3,04794-000,5x2 Comercial,Monteiro - Unidade 10
VIG-10049,Luan Viana,726.***.***-58,2028-01-28,Grandes Eventos,"Proatividade, Comunicação Assertiva, Trabalho sob Pressão, Perfil Analítico, Atenção Concentrada",Profissional muito elogiado pelo cliente.,7.1,01013-001,12x36 Noite,da Costa - Unidade 9
VIG-10050,Beatriz Ferreira,483.***.***-93,2025-04-18,"Escolta Armada, Grandes Eventos","Comunicação Assertiva, Inteligência Emocional",Possui postura exemplar e uniforme sempre impecável.,9.8,04801-010,5x2 Comercial,Santos - Unidade 8
VIG-10051,Mariane da Luz,495.***.***-82,2025-10-15,"Escolta Armada, Grandes Eventos, Monitoramento de CFTV","Liderança de Equipe, Comunicação Assertiva, Pontualidade Extrema, Inteligência Emocional, Resolução de Conflitos","Focado e observador, antecipa riscos no perímetro.",6.5,01415-000,12x36 Noite,Alves Abreu S/A - Unidade 1
VIG-10052,Anthony Gabriel Fonseca,481.***.***-00,2027-12-17,Grandes Eventos,"Proatividade, Comunicação Assertiva, Trabalho sob Pressão",Excelente pontualidade e assiduidade.,8.1,08410-000,5x2 Comercial,Farias - Unidade 1
VIG-10053,Sra. Fernanda Gonçalves,065.***.***-17,2028-03-06,"Vigilância Patrimonial, Segurança Pessoal (VSPP), Monitoramento de CFTV","Resolução de Conflitos, Atenção Concentrada, Liderança de Equipe","Focado e observador, antecipa riscos no perímetro.",7.5,01415-000,12x36 Dia,Garcia - ME - Unidade 8
VIG-10054,Maria Fernanda da Cunha,512.***.***-25,2026-12-16,"Vigilância Patrimonial, Transporte de Valores","Comunicação Assertiva, Pontualidade Extrema, Inteligência Emocional, Trabalho sob Pressão",Possui postura exemplar e uniforme sempre impecável.,8.9,04794-000,12x36 Dia,Jesus S.A. - Unidade 5
VIG-10055,Bella Porto,408.***.***-66,2027-05-29,Escolta Armada,"Discrição, Proatividade, Inteligência Emocional, Empatia, Comunicação Assertiva",Excelente pontualidade e assiduidade.,8.6,01001-000,12x36 Noite,Cavalcanti - Unidade 5
VIG-10056,Arthur Gomes,654.***.***-30,2025-09-03,"Grandes Eventos, Segurança Pessoal (VSPP)","Atenção Concentrada, Comunicação Assertiva",Profissional muito elogiado pelo cliente.,7.2,08410-000,12x36 Noite,Mendonça Pacheco S.A. - Unidade 1
VIG-10057,Ana Sophia Rodrigues,639.***.***-91,2027-11-20,"Vigilância Patrimonial, Transporte de Valores, Escolta Armada","Trabalho sob Pressão, Liderança de Equipe",Profissional muito elogiado pelo cliente.,8.4,08410-000,5x2 Comercial,Pastor S/A - Unidade 4
VIG-10058,Arthur Miguel Mendonça,089.***.***-85,2026-10-09,"Segurança Pessoal (VSPP), Escolta Armada","Comunicação Assertiva, Discrição","Focado e observador, antecipa riscos no perímetro.",6.5,02011-000,5x2 Comercial,Porto e Filhos - Unidade 6
VIG-10059,Daniela Oliveira,865.***.***-62,2025-11-05,"Monitoramento de CFTV, Transporte de Valores, Vigilância Patrimonial","Perfil Analítico, Inteligência Emocional, Resolução de Conflitos, Empatia, Discrição, Pontualidade Extrema",Excelente pontualidade e assiduidade.,7.7,05407-002,12x36 Noite,da Rocha S/A - Unidade 6
VIG-10060,João Miguel Costa,437.***.***-70,2026-08-07,Segurança Pessoal (VSPP),"Perfil Analítico, Liderança de Equipe, Resolução de Conflitos, Trabalho sob Pressão, Atenção Concentrada, Discrição",Profissional muito elogiado pelo cliente.,9.4,01415-000,12x36 Dia,Alves - Unidade 10
VIG-10061,Dr. Luigi Araújo,682.***.***-82,2027-11-06,"Monitoramento de CFTV, Escolta Armada","Empatia, Inteligência Emocional, Proatividade, Trabalho sob Pressão",Profissional muito elogiado pelo cliente.,8.1,01310-100,12x36 Noite,Fogaça - Unidade 5
VIG-10062,Joana Pacheco,527.***.***-80,2025-09-11,Grandes Eventos,"Trabalho sob Pressão, Atenção Concentrada, Resolução de Conflitos","Focado e observador, antecipa riscos no perímetro.",8.9,08410-000,12x36 Dia,Mendes - Unidade 8
VIG-10063,Melina da Mata,096.***.***-99,2026-03-20,"Grandes Eventos, Vigilância Patrimonial, Escolta Armada","Pontualidade Extrema, Atenção Concentrada, Proatividade","Focado e observador, antecipa riscos no perímetro.",8.7,01415-000,5x2 Comercial,Cirino Araújo S/A - Unidade 8
VIG-10064,Aurora Oliveira,628.***.***-30,2027-01-26,"Escolta Armada, Vigilância Patrimonial","Pontualidade Extrema, Liderança de Equipe, Empatia",Possui postura exemplar e uniforme sempre impecável.,8.0,01001-000,12x36 Noite,Câmara - Unidade 10
VIG-10065,Rafael Silveira,720.***.***-03,2026-04-11,"Grandes Eventos, Segurança Pessoal (VSPP), Monitoramento de CFTV","Pontualidade Extrema, Discrição, Inteligência Emocional",Profissional muito elogiado pelo cliente.,8.0,01013-001,5x2 Comercial,Aragão - Unidade 2
VIG-10066,Gustavo Cunha,856.***.***-26,2025-11-29,"Monitoramento de CFTV, Segurança Pessoal (VSPP), Vigilância Patrimonial","Trabalho sob Pressão, Comunicação Assertiva","Focado e observador, antecipa riscos no perímetro.",7.0,04801-010,12x36 Dia,Marques - Unidade 5
VIG-10067,Guilherme Barbosa,368.***.***-42,2028-03-11,"Segurança Pessoal (VSPP), Vigilância Patrimonial","Proatividade, Trabalho sob Pressão, Empatia",Profissional muito elogiado pelo cliente.,9.6,08410-000,12x36 Noite,Borges S/A - Unidade 9
VIG-10068,Sr. Miguel Freitas,029.***.***-30,2027-01-22,"Segurança Pessoal (VSPP), Monitoramento de CFTV","Liderança de Equipe, Inteligência Emocional, Comunicação Assertiva, Resolução de Conflitos",Possui postura exemplar e uniforme sempre impecável.,9.3,04794-000,12x36 Dia,Moraes - Unidade 3
VIG-10069,João Guilherme Monteiro,376.***.***-90,2027-12-26,"Transporte de Valores, Escolta Armada","Empatia, Atenção Concentrada","Focado e observador, antecipa riscos no perímetro.",9.2,01310-100,12x36 Noite,Leão - Unidade 4
VIG-10070,Maria Júlia Martins,071.***.***-21,2025-07-27,"Grandes Eventos, Vigilância Patrimonial","Empatia, Proatividade, Trabalho sob Pressão, Pontualidade Extrema","Focado e observador, antecipa riscos no perímetro.",7.2,01415-000,5x2 Comercial,Fogaça - ME - Unidade 3
VIG-10071,Nina Guerra,075.***.***-80,2025-04-01,"Vigilância Patrimonial, Escolta Armada, Monitoramento de CFTV","Perfil Analítico, Atenção Concentrada, Trabalho sob Pressão, Comunicação Assertiva, Empatia, Pontualidade Extrema",Possui postura exemplar e uniforme sempre impecável.,6.5,04794-000,12x36 Dia,Souza Ltda. - Unidade 7
VIG-10072,Ryan Nascimento,356.***.***-33,2027-12-12,"Grandes Eventos, Segurança Pessoal (VSPP), Transporte de Valores","Comunicação Assertiva, Resolução de Conflitos",Demonstra facilidade em lidar com público diverso.,6.6,08410-000,12x36 Noite,Cunha - Unidade 2
VIG-10073,Nicole Pimenta,125.***.***-64,2025-07-25,Vigilância Patrimonial,"Inteligência Emocional, Atenção Concentrada",Demonstra facilidade em lidar com público diverso.,6.7,01013-001,12x36 Noite,Brito Monteiro e Filhos - Unidade 2
VIG-10074,Sophia Castro,104.***.***-01,2027-08-19,"Transporte de Valores, Segurança Pessoal (VSPP), Grandes Eventos","Atenção Concentrada, Pontualidade Extrema, Discrição, Perfil Analítico, Liderança de Equipe, Empatia",Demonstra facilidade em lidar com público diverso.,8.3,05407-002,5x2 Comercial,da Costa - Unidade 5
VIG-10075,Bárbara Moreira,927.***.***-03,2025-07-02,"Grandes Eventos, Monitoramento de CFTV, Segurança Pessoal (VSPP)","Empatia, Pontualidade Extrema, Trabalho sob Pressão, Atenção Concentrada",Excelente pontualidade e assiduidade.,6.8,05407-002,12x36 Noite,Garcia - EI - Unidade 2
VIG-10076,Sr. Bernardo Novais,725.***.***-82,2026-03-17,Segurança Pessoal (VSPP),"Empatia, Resolução de Conflitos, Proatividade, Inteligência Emocional, Liderança de Equipe",Demonstra facilidade em lidar com público diverso.,8.9,04801-010,12x36 Noite,Vasconcelos - Unidade 1
VIG-10077,Eloá Pastor,329.***.***-80,2028-02-22,"Vigilância Patrimonial, Segurança Pessoal (VSPP)","Atenção Concentrada, Proatividade, Discrição, Empatia, Pontualidade Extrema, Liderança de Equipe",Excelente pontualidade e assiduidade.,8.1,05407-002,12x36 Noite,Pires S.A. - Unidade 5
VIG-10078,Nina da Luz,937.***.***-92,2025-07-22,"Escolta Armada, Transporte de Valores, Monitoramento de CFTV","Atenção Concentrada, Discrição",Possui postura exemplar e uniforme sempre impecável.,9.8,08410-000,12x36 Dia,da Mota da Mota S.A. - Unidade 1
VIG-10079,Luna Freitas,134.***.***-09,2026-04-28,"Segurança Pessoal (VSPP), Grandes Eventos, Vigilância Patrimonial","Resolução de Conflitos, Empatia, Proatividade",Demonstra facilidade em lidar com público diverso.,6.5,01310-100,5x2 Comercial,Cardoso - Unidade 2
VIG-10080,Carlos Eduardo Oliveira,597.***.***-16,2025-11-20,Grandes Eventos,"Atenção Concentrada, Trabalho sob Pressão",Profissional muito elogiado pelo cliente.,6.5,04794-000,5x2 Comercial,Azevedo Souza S/A - Unidade 6
VIG-10081,Milena das Neves,294.***.***-32,2026-03-20,"Escolta Armada, Transporte de Valores","Resolução de Conflitos, Atenção Concentrada, Empatia, Trabalho sob Pressão, Discrição",Possui postura exemplar e uniforme sempre impecável.,8.9,04801-010,5x2 Comercial,Mendes - Unidade 5
VIG-10082,Mirella Caldeira,546.***.***-99,2026-04-14,"Vigilância Patrimonial, Grandes Eventos, Transporte de Valores","Empatia, Proatividade, Discrição, Liderança de Equipe, Inteligência Emocional",Demonstra facilidade em lidar com público diverso.,7.6,01001-000,12x36 Dia,Nogueira - Unidade 10
VIG-10083,Felipe Carvalho,739.***.***-00,2026-11-06,Monitoramento de CFTV,"Resolução de Conflitos, Atenção Concentrada, Inteligência Emocional, Perfil Analítico, Liderança de Equipe, Discrição",Profissional muito elogiado pelo cliente.,7.2,04794-000,12x36 Noite,Mendes - EI - Unidade 1
VIG-10084,Arthur Miguel Nunes,319.***.***-98,2026-12-11,"Segurança Pessoal (VSPP), Grandes Eventos, Vigilância Patrimonial","Empatia, Comunicação Assertiva, Liderança de Equipe, Trabalho sob Pressão, Perfil Analítico",Demonstra facilidade em lidar com público diverso.,8.0,01415-000,5x2 Comercial,Nogueira Teixeira S.A. - Unidade 9
VIG-10085,Luísa Machado,651.***.***-05,2026-07-18,"Escolta Armada, Vigilância Patrimonial, Grandes Eventos","Trabalho sob Pressão, Discrição","Focado e observador, antecipa riscos no perímetro.",7.1,05407-002,12x36 Noite,Guerra - Unidade 10
VIG-10086,Melissa Peixoto,023.***.***-30,2025-07-29,Segurança Pessoal (VSPP),"Resolução de Conflitos, Empatia",Demonstra facilidade em lidar com público diverso.,8.2,04801-010,12x36 Dia,da Mata - Unidade 6
VIG-10087,Amanda Cirino,321.***.***-97,2027-08-09,"Transporte de Valores, Segurança Pessoal (VSPP), Grandes Eventos","Liderança de Equipe, Comunicação Assertiva",Excelente pontualidade e assiduidade.,7.1,04801-010,5x2 Comercial,Dias e Filhos - Unidade 7
VIG-10088,Thales Fogaça,201.***.***-22,2027-12-13,"Vigilância Patrimonial, Escolta Armada, Grandes Eventos","Liderança de Equipe, Proatividade, Trabalho sob Pressão",Excelente pontualidade e assiduidade.,8.1,02011-000,12x36 Dia,Barros Leão S/A - Unidade 4
VIG-10089,Alice Caldeira,802.***.***-60,2025-06-30,"Grandes Eventos, Escolta Armada","Trabalho sob Pressão, Perfil Analítico, Atenção Concentrada","Focado e observador, antecipa riscos no perímetro.",8.8,08410-000,12x36 Noite,Lima - ME - Unidade 6
VIG-10090,Luísa das Neves,309.***.***-88,2027-04-02,"Grandes Eventos, Transporte de Valores, Monitoramento de CFTV","Comunicação Assertiva, Resolução de Conflitos, Liderança de Equipe",Demonstra facilidade em lidar com público diverso.,9.4,04801-010,12x36 Noite,Rezende Borges - EI - Unidade 3
VIG-10091,Dante Cavalcanti,216.***.***-08,2025-07-21,"Monitoramento de CFTV, Vigilância Patrimonial, Segurança Pessoal (VSPP)","Inteligência Emocional, Discrição, Pontualidade Extrema",Possui postura exemplar e uniforme sempre impecável.,7.5,01415-000,5x2 Comercial,Andrade Correia - ME - Unidade 6
VIG-10092,Brayan Teixeira,091.***.***-30,2025-09-12,"Escolta Armada, Segurança Pessoal (VSPP)","Pontualidade Extrema, Discrição, Perfil Analítico, Comunicação Assertiva",Profissional muito elogiado pelo cliente.,6.6,08410-000,12x36 Dia,Abreu - Unidade 9
VIG-10093,Dr. Matheus Rocha,123.***.***-17,2026-01-22,"Escolta Armada, Grandes Eventos, Vigilância Patrimonial","Atenção Concentrada, Proatividade, Resolução de Conflitos, Comunicação Assertiva, Pontualidade Extrema",Possui postura exemplar e uniforme sempre impecável.,8.6,01310-100,12x36 Noite,Sá - ME - Unidade 5
VIG-10094,Maitê da Cunha,273.***.***-87,2025-10-24,"Segurança Pessoal (VSPP), Grandes Eventos","Proatividade, Perfil Analítico",Profissional muito elogiado pelo cliente.,7.0,01202-001,5x2 Comercial,Fogaça - Unidade 1
VIG-10095,Zoe Azevedo,341.***.***-32,2025-07-31,"Transporte de Valores, Escolta Armada","Trabalho sob Pressão, Inteligência Emocional, Proatividade, Pontualidade Extrema",Demonstra facilidade em lidar com público diverso.,8.6,08410-000,12x36 Dia,Correia - ME - Unidade 3
VIG-10096,Antonella da Conceição,134.***.***-03,2025-07-23,Segurança Pessoal (VSPP),"Trabalho sob Pressão, Proatividade, Empatia, Perfil Analítico, Inteligência Emocional",Possui postura exemplar e uniforme sempre impecável.,7.1,01415-000,12x36 Dia,Rocha - EI - Unidade 8
